Test Case: H20SXM_vllm.ops.NATIVE_C-moe_sum
| output |    _tensor    |  strides  |    _tensor_1     | precision_1 |    strides_1     | precision_2 | strides_2 |  _val   |  dtype   | status  | b_device | b_dtype |  rtol  | atol  |     cosine_sim     | max_abs_err | rel_err_hundredth | rel_err_thousandth  | rel_err_ten_thousandth | error_rate |           eb           |         rmse          | small_value_err_ratio | max_rel_error | mean_rel_error | max_ulp_error | mean_ulp_error | ulp_error_proportion |                          message                          |
|  [0]   | [26902, 7168] | [7168, 1] | [26902, 8, 7168] |  bfloat16   | [57344, 7168, 1] |    int64    |    [1]    | [26902] | bfloat16 | Warning |   cpu    |  fp32   | 0.0039 | 1e-05 | 0.9999986180093395 | 0.05029297  |        1.0        | 0.4027799967325186  |                        |            | 0.0002858372103906242  |  0.00466885370111612  |          0.0          |  0.003889159  |  0.001327413   |      0.5      |   0.23574623   |         0.0          | Relative error is greater than 0.001, consider as warning |
|  [0]   | [26902, 7168] | [7168, 1] | [26902, 8, 7168] |  bfloat16   | [57344, 7168, 1] |    int64    |    [1]    | [26902] | bfloat16 | Warning |   cpu    |  fp32   | 0.0039 | 1e-05 | 0.9999986174510198 |   0.03125   |        1.0        | 0.4027132500438098  |                        |            | 0.0001906877857594231  | 0.004669352837492077  |          0.0          |  0.003889159  |  0.0013274911  |      0.5      |   0.23576897   |         0.0          | Relative error is greater than 0.001, consider as warning |
|  [0]   | [26902, 7168] | [7168, 1] | [26902, 8, 7168] |  bfloat16   | [57344, 7168, 1] |    int64    |    [1]    | [26902] | bfloat16 | Warning |   cpu    |  fp32   | 0.0039 | 1e-05 | 0.9999986173328479 |  0.0546875  |        1.0        | 0.4026486606562045  |                        |            | 0.00010625745098611893 | 0.004670122589068821  |          0.0          |  0.003889159  |  0.0013276201  |      0.5      |   0.23578863   |         0.0          | Relative error is greater than 0.001, consider as warning |
|  [0]   | [26902, 7168] | [7168, 1] | [26902, 8, 7168] |  bfloat16   | [57344, 7168, 1] |    int64    |    [1]    | [26902] | bfloat16 | Warning |   cpu    |  fp32   | 0.0039 | 1e-05 | 0.9999986175297825 |  0.0546875  |        1.0        | 0.40273997775988507 |                        |            | 0.0003462727562077169  |  0.00466918166931348  |          0.0          |  0.003889159  |  0.001327468   |      0.5      |   0.2357547    |         0.0          | Relative error is greater than 0.001, consider as warning |
|  [0]   | [26902, 7168] | [7168, 1] | [26902, 8, 7168] |  bfloat16   | [57344, 7168, 1] |    int64    |    [1]    | [26902] | bfloat16 | Warning |   cpu    |  fp32   | 0.0039 | 1e-05 | 0.9999986174954684 |  0.046875   |        1.0        | 0.40271706680730057 |                        |            | 0.00030934971809052963 | 0.004669492675459747  |          0.0          |  0.003889159  |  0.0013275552  |      0.5      |   0.23577188   |         0.0          | Relative error is greater than 0.001, consider as warning |
|  [0]   | [26902, 7168] | [7168, 1] | [26902, 8, 7168] |  bfloat16   | [57344, 7168, 1] |    int64    |    [1]    | [26902] | bfloat16 | Warning |   cpu    |  fp32   | 0.0039 | 1e-05 | 0.9999986173710796 |   0.03125   |        1.0        | 0.40268102535857664 |                        |            | 0.00024093838117452765 | 0.004670053788628006  |          0.0          |  0.003889159  |  0.0013275506  |      0.5      |   0.2357681    |         0.0          | Relative error is greater than 0.001, consider as warning |
|  [0]   | [26902, 7168] | [7168, 1] | [26902, 8, 7168] |  bfloat16   | [57344, 7168, 1] |    int64    |    [1]    | [26902] | bfloat16 | Warning |   cpu    |  fp32   | 0.0039 | 1e-05 | 0.9999986176685917 |   0.03125   |        1.0        | 0.4027632050474872  |                        |            | 0.0004059926588702911  | 0.004669161245236593  |          0.0          |  0.003889159  |  0.0013274406  |      0.5      |   0.23576036   |         0.0          | Relative error is greater than 0.001, consider as warning |
|  [0]   | [26902, 7168] | [7168, 1] | [26902, 8, 7168] |  bfloat16   | [57344, 7168, 1] |    int64    |    [1]    | [26902] | bfloat16 | Warning |   cpu    |  fp32   | 0.0039 | 1e-05 | 0.9999986175304992 |  0.046875   |        1.0        | 0.4026887366728576  |                        |            | 0.0002174673600343044  | 0.0046693083824957005 |          0.0          |  0.003889159  |  0.0013275679  |      0.5      |   0.23577432   |         0.0          | Relative error is greater than 0.001, consider as warning |
|  [0]   | [26902, 7168] | [7168, 1] | [26902, 8, 7168] |  bfloat16   | [57344, 7168, 1] |    int64    |    [1]    | [26902] | bfloat16 | Warning |   cpu    |  fp32   | 0.0039 | 1e-05 | 0.9999986172489952 | 0.04296875  |        1.0        | 0.40268193287706966 |                        |            | 0.00020873962504115468 | 0.004669911929977258  |          0.0          |  0.003889159  |  0.0013276159  |      0.5      |   0.2357792    |         0.0          | Relative error is greater than 0.001, consider as warning |
|  [0]   | [26902, 7168] | [7168, 1] | [26902, 8, 7168] |  bfloat16   | [57344, 7168, 1] |    int64    |    [1]    | [26902] | bfloat16 | Warning |   cpu    |  fp32   | 0.0039 | 1e-05 | 0.9999986175475779 |  0.0390625  |        1.0        | 0.40271416274812283 |                        |            |  0.000134686116008369  | 0.004669361183662181  |          0.0          |  0.003889159  |  0.0013275385  |      0.5      |   0.23576728   |         0.0          | Relative error is greater than 0.001, consider as warning |
|  [0]   | [26902, 7168] | [7168, 1] | [26902, 8, 7168] |  bfloat16   | [57344, 7168, 1] |    int64    |    [1]    | [26902] | bfloat16 | Warning |   cpu    |  fp32   | 0.0039 | 1e-05 | 0.9999986180093395 | 0.05029297  |        1.0        | 0.4027799967325186  |                        |            | 0.0002858372103906242  |  0.00466885370111612  |          0.0          |  0.003889159  |  0.001327413   |      0.5      |   0.23574623   |         0.0          | Relative error is greater than 0.001, consider as warning |
|  [0]   | [26902, 7168] | [7168, 1] | [26902, 8, 7168] |  bfloat16   | [57344, 7168, 1] |    int64    |    [1]    | [26902] | bfloat16 | Warning |   cpu    |  fp32   | 0.0039 | 1e-05 | 0.9999986174510198 |   0.03125   |        1.0        | 0.4027132500438098  |                        |            | 0.0001906877857594231  | 0.004669352837492077  |          0.0          |  0.003889159  |  0.0013274911  |      0.5      |   0.23576897   |         0.0          | Relative error is greater than 0.001, consider as warning |
|  [0]   | [26902, 7168] | [7168, 1] | [26902, 8, 7168] |  bfloat16   | [57344, 7168, 1] |    int64    |    [1]    | [26902] | bfloat16 | Warning |   cpu    |  fp32   | 0.0039 | 1e-05 | 0.9999986173328479 |  0.0546875  |        1.0        | 0.4026486606562045  |                        |            | 0.00010625745098611893 | 0.004670122589068821  |          0.0          |  0.003889159  |  0.0013276201  |      0.5      |   0.23578863   |         0.0          | Relative error is greater than 0.001, consider as warning |
|  [0]   | [26902, 7168] | [7168, 1] | [26902, 8, 7168] |  bfloat16   | [57344, 7168, 1] |    int64    |    [1]    | [26902] | bfloat16 | Warning |   cpu    |  fp32   | 0.0039 | 1e-05 | 0.9999986175297825 |  0.0546875  |        1.0        | 0.40273997775988507 |                        |            | 0.0003462727562077169  |  0.00466918166931348  |          0.0          |  0.003889159  |  0.001327468   |      0.5      |   0.2357547    |         0.0          | Relative error is greater than 0.001, consider as warning |
|  [0]   | [26902, 7168] | [7168, 1] | [26902, 8, 7168] |  bfloat16   | [57344, 7168, 1] |    int64    |    [1]    | [26902] | bfloat16 | Warning |   cpu    |  fp32   | 0.0039 | 1e-05 | 0.9999986174954684 |  0.046875   |        1.0        | 0.40271706680730057 |                        |            | 0.00030934971809052963 | 0.004669492675459747  |          0.0          |  0.003889159  |  0.0013275552  |      0.5      |   0.23577188   |         0.0          | Relative error is greater than 0.001, consider as warning |
|  [0]   | [26902, 7168] | [7168, 1] | [26902, 8, 7168] |  bfloat16   | [57344, 7168, 1] |    int64    |    [1]    | [26902] | bfloat16 | Warning |   cpu    |  fp32   | 0.0039 | 1e-05 | 0.9999986173710796 |   0.03125   |        1.0        | 0.40268102535857664 |                        |            | 0.00024093838117452765 | 0.004670053788628006  |          0.0          |  0.003889159  |  0.0013275506  |      0.5      |   0.2357681    |         0.0          | Relative error is greater than 0.001, consider as warning |
|  [0]   | [26902, 7168] | [7168, 1] | [26902, 8, 7168] |  bfloat16   | [57344, 7168, 1] |    int64    |    [1]    | [26902] | bfloat16 | Warning |   cpu    |  fp32   | 0.0039 | 1e-05 | 0.9999986176685917 |   0.03125   |        1.0        | 0.4027632050474872  |                        |            | 0.0004059926588702911  | 0.004669161245236593  |          0.0          |  0.003889159  |  0.0013274406  |      0.5      |   0.23576036   |         0.0          | Relative error is greater than 0.001, consider as warning |
|  [0]   | [26902, 7168] | [7168, 1] | [26902, 8, 7168] |  bfloat16   | [57344, 7168, 1] |    int64    |    [1]    | [26902] | bfloat16 | Warning |   cpu    |  fp32   | 0.0039 | 1e-05 | 0.9999986175304992 |  0.046875   |        1.0        | 0.4026887366728576  |                        |            | 0.0002174673600343044  | 0.0046693083824957005 |          0.0          |  0.003889159  |  0.0013275679  |      0.5      |   0.23577432   |         0.0          | Relative error is greater than 0.001, consider as warning |
|  [0]   | [26902, 7168] | [7168, 1] | [26902, 8, 7168] |  bfloat16   | [57344, 7168, 1] |    int64    |    [1]    | [26902] | bfloat16 | Warning |   cpu    |  fp32   | 0.0039 | 1e-05 | 0.9999986172489952 | 0.04296875  |        1.0        | 0.40268193287706966 |                        |            | 0.00020873962504115468 | 0.004669911929977258  |          0.0          |  0.003889159  |  0.0013276159  |      0.5      |   0.2357792    |         0.0          | Relative error is greater than 0.001, consider as warning |
|  [0]   | [26902, 7168] | [7168, 1] | [26902, 8, 7168] |  bfloat16   | [57344, 7168, 1] |    int64    |    [1]    | [26902] | bfloat16 | Warning |   cpu    |  fp32   | 0.0039 | 1e-05 | 0.9999986175475779 |  0.0390625  |        1.0        | 0.40271416274812283 |                        |            |  0.000134686116008369  | 0.004669361183662181  |          0.0          |  0.003889159  |  0.0013275385  |      0.5      |   0.23576728   |         0.0          | Relative error is greater than 0.001, consider as warning |
|  [0]   | [26902, 7168] | [7168, 1] | [26902, 8, 7168] |  bfloat16   | [57344, 7168, 1] |    int64    |    [1]    | [26902] | bfloat16 | Warning |   cpu    |  fp32   | 0.0039 | 1e-05 | 0.9999986180093395 | 0.05029297  |        1.0        | 0.4027799967325186  |                        |            | 0.0002858372103906242  |  0.00466885370111612  |          0.0          |  0.003889159  |  0.001327413   |      0.5      |   0.23574623   |         0.0          | Relative error is greater than 0.001, consider as warning |
|  [0]   | [26902, 7168] | [7168, 1] | [26902, 8, 7168] |  bfloat16   | [57344, 7168, 1] |    int64    |    [1]    | [26902] | bfloat16 | Warning |   cpu    |  fp32   | 0.0039 | 1e-05 | 0.9999986174510198 |   0.03125   |        1.0        | 0.4027132500438098  |                        |            | 0.0001906877857594231  | 0.004669352837492077  |          0.0          |  0.003889159  |  0.0013274911  |      0.5      |   0.23576897   |         0.0          | Relative error is greater than 0.001, consider as warning |
|  [0]   | [26902, 7168] | [7168, 1] | [26902, 8, 7168] |  bfloat16   | [57344, 7168, 1] |    int64    |    [1]    | [26902] | bfloat16 | Warning |   cpu    |  fp32   | 0.0039 | 1e-05 | 0.9999986173328479 |  0.0546875  |        1.0        | 0.4026486606562045  |                        |            | 0.00010625745098611893 | 0.004670122589068821  |          0.0          |  0.003889159  |  0.0013276201  |      0.5      |   0.23578863   |         0.0          | Relative error is greater than 0.001, consider as warning |
|  [0]   | [26902, 7168] | [7168, 1] | [26902, 8, 7168] |  bfloat16   | [57344, 7168, 1] |    int64    |    [1]    | [26902] | bfloat16 | Warning |   cpu    |  fp32   | 0.0039 | 1e-05 | 0.9999986175297825 |  0.0546875  |        1.0        | 0.40273997775988507 |                        |            | 0.0003462727562077169  |  0.00466918166931348  |          0.0          |  0.003889159  |  0.001327468   |      0.5      |   0.2357547    |         0.0          | Relative error is greater than 0.001, consider as warning |
|  [0]   | [26902, 7168] | [7168, 1] | [26902, 8, 7168] |  bfloat16   | [57344, 7168, 1] |    int64    |    [1]    | [26902] | bfloat16 | Warning |   cpu    |  fp32   | 0.0039 | 1e-05 | 0.9999986174954684 |  0.046875   |        1.0        | 0.40271706680730057 |                        |            | 0.00030934971809052963 | 0.004669492675459747  |          0.0          |  0.003889159  |  0.0013275552  |      0.5      |   0.23577188   |         0.0          | Relative error is greater than 0.001, consider as warning |
|  [0]   | [26902, 7168] | [7168, 1] | [26902, 8, 7168] |  bfloat16   | [57344, 7168, 1] |    int64    |    [1]    | [26902] | bfloat16 | Warning |   cpu    |  fp32   | 0.0039 | 1e-05 | 0.9999986173710796 |   0.03125   |        1.0        | 0.40268102535857664 |                        |            | 0.00024093838117452765 | 0.004670053788628006  |          0.0          |  0.003889159  |  0.0013275506  |      0.5      |   0.2357681    |         0.0          | Relative error is greater than 0.001, consider as warning |
|  [0]   | [26902, 7168] | [7168, 1] | [26902, 8, 7168] |  bfloat16   | [57344, 7168, 1] |    int64    |    [1]    | [26902] | bfloat16 | Warning |   cpu    |  fp32   | 0.0039 | 1e-05 | 0.9999986176685917 |   0.03125   |        1.0        | 0.4027632050474872  |                        |            | 0.0004059926588702911  | 0.004669161245236593  |          0.0          |  0.003889159  |  0.0013274406  |      0.5      |   0.23576036   |         0.0          | Relative error is greater than 0.001, consider as warning |
|  [0]   | [26902, 7168] | [7168, 1] | [26902, 8, 7168] |  bfloat16   | [57344, 7168, 1] |    int64    |    [1]    | [26902] | bfloat16 | Warning |   cpu    |  fp32   | 0.0039 | 1e-05 | 0.9999986175304992 |  0.046875   |        1.0        | 0.4026887366728576  |                        |            | 0.0002174673600343044  | 0.0046693083824957005 |          0.0          |  0.003889159  |  0.0013275679  |      0.5      |   0.23577432   |         0.0          | Relative error is greater than 0.001, consider as warning |
|  [0]   | [26902, 7168] | [7168, 1] | [26902, 8, 7168] |  bfloat16   | [57344, 7168, 1] |    int64    |    [1]    | [26902] | bfloat16 | Warning |   cpu    |  fp32   | 0.0039 | 1e-05 | 0.9999986172489952 | 0.04296875  |        1.0        | 0.40268193287706966 |                        |            | 0.00020873962504115468 | 0.004669911929977258  |          0.0          |  0.003889159  |  0.0013276159  |      0.5      |   0.2357792    |         0.0          | Relative error is greater than 0.001, consider as warning |
|  [0]   | [26902, 7168] | [7168, 1] | [26902, 8, 7168] |  bfloat16   | [57344, 7168, 1] |    int64    |    [1]    | [26902] | bfloat16 | Warning |   cpu    |  fp32   | 0.0039 | 1e-05 | 0.9999986175475779 |  0.0390625  |        1.0        | 0.40271416274812283 |                        |            |  0.000134686116008369  | 0.004669361183662181  |          0.0          |  0.003889159  |  0.0013275385  |      0.5      |   0.23576728   |         0.0          | Relative error is greater than 0.001, consider as warning |
|  [0]   | [26902, 7168] | [7168, 1] | [26902, 8, 7168] |  bfloat16   | [57344, 7168, 1] |    int64    |    [1]    | [26902] | bfloat16 | Warning |   cpu    |  fp32   | 0.0039 | 1e-05 | 0.9999986180093395 | 0.05029297  |        1.0        | 0.4027799967325186  |                        |            | 0.0002858372103906242  |  0.00466885370111612  |          0.0          |  0.003889159  |  0.001327413   |      0.5      |   0.23574623   |         0.0          | Relative error is greater than 0.001, consider as warning |
|  [0]   | [26902, 7168] | [7168, 1] | [26902, 8, 7168] |  bfloat16   | [57344, 7168, 1] |    int64    |    [1]    | [26902] | bfloat16 | Warning |   cpu    |  fp32   | 0.0039 | 1e-05 | 0.9999986174510198 |   0.03125   |        1.0        | 0.4027132500438098  |                        |            | 0.0001906877857594231  | 0.004669352837492077  |          0.0          |  0.003889159  |  0.0013274911  |      0.5      |   0.23576897   |         0.0          | Relative error is greater than 0.001, consider as warning |
|  [0]   | [26902, 7168] | [7168, 1] | [26902, 8, 7168] |  bfloat16   | [57344, 7168, 1] |    int64    |    [1]    | [26902] | bfloat16 | Warning |   cpu    |  fp32   | 0.0039 | 1e-05 | 0.9999986173328479 |  0.0546875  |        1.0        | 0.4026486606562045  |                        |            | 0.00010625745098611893 | 0.004670122589068821  |          0.0          |  0.003889159  |  0.0013276201  |      0.5      |   0.23578863   |         0.0          | Relative error is greater than 0.001, consider as warning |
|  [0]   | [26902, 7168] | [7168, 1] | [26902, 8, 7168] |  bfloat16   | [57344, 7168, 1] |    int64    |    [1]    | [26902] | bfloat16 | Warning |   cpu    |  fp32   | 0.0039 | 1e-05 | 0.9999986175297825 |  0.0546875  |        1.0        | 0.40273997775988507 |                        |            | 0.0003462727562077169  |  0.00466918166931348  |          0.0          |  0.003889159  |  0.001327468   |      0.5      |   0.2357547    |         0.0          | Relative error is greater than 0.001, consider as warning |
|  [0]   | [26902, 7168] | [7168, 1] | [26902, 8, 7168] |  bfloat16   | [57344, 7168, 1] |    int64    |    [1]    | [26902] | bfloat16 | Warning |   cpu    |  fp32   | 0.0039 | 1e-05 | 0.9999986174954684 |  0.046875   |        1.0        | 0.40271706680730057 |                        |            | 0.00030934971809052963 | 0.004669492675459747  |          0.0          |  0.003889159  |  0.0013275552  |      0.5      |   0.23577188   |         0.0          | Relative error is greater than 0.001, consider as warning |
|  [0]   | [26902, 7168] | [7168, 1] | [26902, 8, 7168] |  bfloat16   | [57344, 7168, 1] |    int64    |    [1]    | [26902] | bfloat16 | Warning |   cpu    |  fp32   | 0.0039 | 1e-05 | 0.9999986173710796 |   0.03125   |        1.0        | 0.40268102535857664 |                        |            | 0.00024093838117452765 | 0.004670053788628006  |          0.0          |  0.003889159  |  0.0013275506  |      0.5      |   0.2357681    |         0.0          | Relative error is greater than 0.001, consider as warning |
|  [0]   | [26902, 7168] | [7168, 1] | [26902, 8, 7168] |  bfloat16   | [57344, 7168, 1] |    int64    |    [1]    | [26902] | bfloat16 | Warning |   cpu    |  fp32   | 0.0039 | 1e-05 | 0.9999986176685917 |   0.03125   |        1.0        | 0.4027632050474872  |                        |            | 0.0004059926588702911  | 0.004669161245236593  |          0.0          |  0.003889159  |  0.0013274406  |      0.5      |   0.23576036   |         0.0          | Relative error is greater than 0.001, consider as warning |
|  [0]   | [26902, 7168] | [7168, 1] | [26902, 8, 7168] |  bfloat16   | [57344, 7168, 1] |    int64    |    [1]    | [26902] | bfloat16 | Warning |   cpu    |  fp32   | 0.0039 | 1e-05 | 0.9999986175304992 |  0.046875   |        1.0        | 0.4026887366728576  |                        |            | 0.0002174673600343044  | 0.0046693083824957005 |          0.0          |  0.003889159  |  0.0013275679  |      0.5      |   0.23577432   |         0.0          | Relative error is greater than 0.001, consider as warning |
|  [0]   | [26902, 7168] | [7168, 1] | [26902, 8, 7168] |  bfloat16   | [57344, 7168, 1] |    int64    |    [1]    | [26902] | bfloat16 | Warning |   cpu    |  fp32   | 0.0039 | 1e-05 | 0.9999986172489952 | 0.04296875  |        1.0        | 0.40268193287706966 |                        |            | 0.00020873962504115468 | 0.004669911929977258  |          0.0          |  0.003889159  |  0.0013276159  |      0.5      |   0.2357792    |         0.0          | Relative error is greater than 0.001, consider as warning |
|  [0]   | [26902, 7168] | [7168, 1] | [26902, 8, 7168] |  bfloat16   | [57344, 7168, 1] |    int64    |    [1]    | [26902] | bfloat16 | Warning |   cpu    |  fp32   | 0.0039 | 1e-05 | 0.9999986175475779 |  0.0390625  |        1.0        | 0.40271416274812283 |                        |            |  0.000134686116008369  | 0.004669361183662181  |          0.0          |  0.003889159  |  0.0013275385  |      0.5      |   0.23576728   |         0.0          | Relative error is greater than 0.001, consider as warning |
|  [0]   | [26902, 7168] | [7168, 1] | [26902, 8, 7168] |  bfloat16   | [57344, 7168, 1] |    int64    |    [1]    | [26902] | bfloat16 | Warning |   cpu    |  fp32   | 0.0039 | 1e-05 | 0.9999986180093395 | 0.05029297  |        1.0        | 0.4027799967325186  |                        |            | 0.0002858372103906242  |  0.00466885370111612  |          0.0          |  0.003889159  |  0.001327413   |      0.5      |   0.23574623   |         0.0          | Relative error is greater than 0.001, consider as warning |
|  [0]   | [26902, 7168] | [7168, 1] | [26902, 8, 7168] |  bfloat16   | [57344, 7168, 1] |    int64    |    [1]    | [26902] | bfloat16 | Warning |   cpu    |  fp32   | 0.0039 | 1e-05 | 0.9999986174510198 |   0.03125   |        1.0        | 0.4027132500438098  |                        |            | 0.0001906877857594231  | 0.004669352837492077  |          0.0          |  0.003889159  |  0.0013274911  |      0.5      |   0.23576897   |         0.0          | Relative error is greater than 0.001, consider as warning |
|  [0]   | [26902, 7168] | [7168, 1] | [26902, 8, 7168] |  bfloat16   | [57344, 7168, 1] |    int64    |    [1]    | [26902] | bfloat16 | Warning |   cpu    |  fp32   | 0.0039 | 1e-05 | 0.9999986173328479 |  0.0546875  |        1.0        | 0.4026486606562045  |                        |            | 0.00010625745098611893 | 0.004670122589068821  |          0.0          |  0.003889159  |  0.0013276201  |      0.5      |   0.23578863   |         0.0          | Relative error is greater than 0.001, consider as warning |
|  [0]   | [26902, 7168] | [7168, 1] | [26902, 8, 7168] |  bfloat16   | [57344, 7168, 1] |    int64    |    [1]    | [26902] | bfloat16 | Warning |   cpu    |  fp32   | 0.0039 | 1e-05 | 0.9999986175297825 |  0.0546875  |        1.0        | 0.40273997775988507 |                        |            | 0.0003462727562077169  |  0.00466918166931348  |          0.0          |  0.003889159  |  0.001327468   |      0.5      |   0.2357547    |         0.0          | Relative error is greater than 0.001, consider as warning |
|  [0]   | [26902, 7168] | [7168, 1] | [26902, 8, 7168] |  bfloat16   | [57344, 7168, 1] |    int64    |    [1]    | [26902] | bfloat16 | Warning |   cpu    |  fp32   | 0.0039 | 1e-05 | 0.9999986174954684 |  0.046875   |        1.0        | 0.40271706680730057 |                        |            | 0.00030934971809052963 | 0.004669492675459747  |          0.0          |  0.003889159  |  0.0013275552  |      0.5      |   0.23577188   |         0.0          | Relative error is greater than 0.001, consider as warning |
|  [0]   | [26902, 7168] | [7168, 1] | [26902, 8, 7168] |  bfloat16   | [57344, 7168, 1] |    int64    |    [1]    | [26902] | bfloat16 | Warning |   cpu    |  fp32   | 0.0039 | 1e-05 | 0.9999986173710796 |   0.03125   |        1.0        | 0.40268102535857664 |                        |            | 0.00024093838117452765 | 0.004670053788628006  |          0.0          |  0.003889159  |  0.0013275506  |      0.5      |   0.2357681    |         0.0          | Relative error is greater than 0.001, consider as warning |
|  [0]   | [26902, 7168] | [7168, 1] | [26902, 8, 7168] |  bfloat16   | [57344, 7168, 1] |    int64    |    [1]    | [26902] | bfloat16 | Warning |   cpu    |  fp32   | 0.0039 | 1e-05 | 0.9999986176685917 |   0.03125   |        1.0        | 0.4027632050474872  |                        |            | 0.0004059926588702911  | 0.004669161245236593  |          0.0          |  0.003889159  |  0.0013274406  |      0.5      |   0.23576036   |         0.0          | Relative error is greater than 0.001, consider as warning |
|  [0]   | [26902, 7168] | [7168, 1] | [26902, 8, 7168] |  bfloat16   | [57344, 7168, 1] |    int64    |    [1]    | [26902] | bfloat16 | Warning |   cpu    |  fp32   | 0.0039 | 1e-05 | 0.9999986175304992 |  0.046875   |        1.0        | 0.4026887366728576  |                        |            | 0.0002174673600343044  | 0.0046693083824957005 |          0.0          |  0.003889159  |  0.0013275679  |      0.5      |   0.23577432   |         0.0          | Relative error is greater than 0.001, consider as warning |
|  [0]   | [26902, 7168] | [7168, 1] | [26902, 8, 7168] |  bfloat16   | [57344, 7168, 1] |    int64    |    [1]    | [26902] | bfloat16 | Warning |   cpu    |  fp32   | 0.0039 | 1e-05 | 0.9999986172489952 | 0.04296875  |        1.0        | 0.40268193287706966 |                        |            | 0.00020873962504115468 | 0.004669911929977258  |          0.0          |  0.003889159  |  0.0013276159  |      0.5      |   0.2357792    |         0.0          | Relative error is greater than 0.001, consider as warning |
|  [0]   | [26902, 7168] | [7168, 1] | [26902, 8, 7168] |  bfloat16   | [57344, 7168, 1] |    int64    |    [1]    | [26902] | bfloat16 | Warning |   cpu    |  fp32   | 0.0039 | 1e-05 | 0.9999986175475779 |  0.0390625  |        1.0        | 0.40271416274812283 |                        |            |  0.000134686116008369  | 0.004669361183662181  |          0.0          |  0.003889159  |  0.0013275385  |      0.5      |   0.23576728   |         0.0          | Relative error is greater than 0.001, consider as warning |
|  [0]   | [26902, 7168] | [7168, 1] | [26902, 8, 7168] |  bfloat16   | [57344, 7168, 1] |    int64    |    [1]    | [26902] | bfloat16 | Warning |   cpu    |  fp32   | 0.0039 | 1e-05 | 0.9999986180093395 | 0.05029297  |        1.0        | 0.4027799967325186  |                        |            | 0.0002858372103906242  |  0.00466885370111612  |          0.0          |  0.003889159  |  0.001327413   |      0.5      |   0.23574623   |         0.0          | Relative error is greater than 0.001, consider as warning |
|  [0]   | [26902, 7168] | [7168, 1] | [26902, 8, 7168] |  bfloat16   | [57344, 7168, 1] |    int64    |    [1]    | [26902] | bfloat16 | Warning |   cpu    |  fp32   | 0.0039 | 1e-05 | 0.9999986174510198 |   0.03125   |        1.0        | 0.4027132500438098  |                        |            | 0.0001906877857594231  | 0.004669352837492077  |          0.0          |  0.003889159  |  0.0013274911  |      0.5      |   0.23576897   |         0.0          | Relative error is greater than 0.001, consider as warning |
|  [0]   | [26902, 7168] | [7168, 1] | [26902, 8, 7168] |  bfloat16   | [57344, 7168, 1] |    int64    |    [1]    | [26902] | bfloat16 | Warning |   cpu    |  fp32   | 0.0039 | 1e-05 | 0.9999986173328479 |  0.0546875  |        1.0        | 0.4026486606562045  |                        |            | 0.00010625745098611893 | 0.004670122589068821  |          0.0          |  0.003889159  |  0.0013276201  |      0.5      |   0.23578863   |         0.0          | Relative error is greater than 0.001, consider as warning |
|  [0]   | [26902, 7168] | [7168, 1] | [26902, 8, 7168] |  bfloat16   | [57344, 7168, 1] |    int64    |    [1]    | [26902] | bfloat16 | Warning |   cpu    |  fp32   | 0.0039 | 1e-05 | 0.9999986175297825 |  0.0546875  |        1.0        | 0.40273997775988507 |                        |            | 0.0003462727562077169  |  0.00466918166931348  |          0.0          |  0.003889159  |  0.001327468   |      0.5      |   0.2357547    |         0.0          | Relative error is greater than 0.001, consider as warning |
|  [0]   | [26902, 7168] | [7168, 1] | [26902, 8, 7168] |  bfloat16   | [57344, 7168, 1] |    int64    |    [1]    | [26902] | bfloat16 | Warning |   cpu    |  fp32   | 0.0039 | 1e-05 | 0.9999986174954684 |  0.046875   |        1.0        | 0.40271706680730057 |                        |            | 0.00030934971809052963 | 0.004669492675459747  |          0.0          |  0.003889159  |  0.0013275552  |      0.5      |   0.23577188   |         0.0          | Relative error is greater than 0.001, consider as warning |
|  [0]   | [26902, 7168] | [7168, 1] | [26902, 8, 7168] |  bfloat16   | [57344, 7168, 1] |    int64    |    [1]    | [26902] | bfloat16 | Warning |   cpu    |  fp32   | 0.0039 | 1e-05 | 0.9999986173710796 |   0.03125   |        1.0        | 0.40268102535857664 |                        |            | 0.00024093838117452765 | 0.004670053788628006  |          0.0          |  0.003889159  |  0.0013275506  |      0.5      |   0.2357681    |         0.0          | Relative error is greater than 0.001, consider as warning |
|  [0]   | [26902, 7168] | [7168, 1] | [26902, 8, 7168] |  bfloat16   | [57344, 7168, 1] |    int64    |    [1]    | [26902] | bfloat16 | Warning |   cpu    |  fp32   | 0.0039 | 1e-05 | 0.9999986176685917 |   0.03125   |        1.0        | 0.4027632050474872  |                        |            | 0.0004059926588702911  | 0.004669161245236593  |          0.0          |  0.003889159  |  0.0013274406  |      0.5      |   0.23576036   |         0.0          | Relative error is greater than 0.001, consider as warning |
|  [0]   | [26902, 7168] | [7168, 1] | [26902, 8, 7168] |  bfloat16   | [57344, 7168, 1] |    int64    |    [1]    | [26902] | bfloat16 | Warning |   cpu    |  fp32   | 0.0039 | 1e-05 | 0.9999986175304992 |  0.046875   |        1.0        | 0.4026887366728576  |                        |            | 0.0002174673600343044  | 0.0046693083824957005 |          0.0          |  0.003889159  |  0.0013275679  |      0.5      |   0.23577432   |         0.0          | Relative error is greater than 0.001, consider as warning |
